trial,makespan,execution_time,initial_temp,cooling_rate,max_iterations,min_temp
0,449,77.78018641471863,500,0.9,100,0.1
1,449,79.34462451934814,500,0.9,100,0.1
2,449,79.2053472995758,500,0.9,100,0.1
0,449,79.22716188430786,500,0.9,100,1.0
1,449,78.5338363647461,500,0.9,100,1.0
2,449,79.0733015537262,500,0.9,100,1.0
0,449,76.59802079200745,500,0.9,100,5.0
1,449,77.68572974205017,500,0.9,100,5.0
2,449,101.80523419380188,500,0.9,100,5.0
0,449,102.3044683933258,500,0.9,300,0.1
1,449,102.26119923591614,500,0.9,300,0.1
2,449,103.3435070514679,500,0.9,300,0.1
0,449,103.84070992469788,500,0.9,300,1.0
1,449,102.3464207649231,500,0.9,300,1.0
2,449,104.22107768058777,500,0.9,300,1.0
0,449,101.47133445739746,500,0.9,300,5.0
1,449,93.06970167160034,500,0.9,300,5.0
2,449,91.84107494354248,500,0.9,300,5.0
0,449,91.93702483177185,500,0.9,500,0.1
1,449,93.03466534614563,500,0.9,500,0.1
2,449,92.64200067520142,500,0.9,500,0.1
0,449,93.45033621788025,500,0.9,500,1.0
1,449,93.54448199272156,500,0.9,500,1.0
2,449,94.08148217201233,500,0.9,500,1.0
0,449,79.15645933151245,500,0.9,500,5.0
1,449,78.29635667800903,500,0.9,500,5.0
2,449,79.5710551738739,500,0.9,500,5.0
0,449,79.10952186584473,500,0.9,700,0.1
1,449,78.4754204750061,500,0.9,700,0.1
2,449,78.24070191383362,500,0.9,700,0.1
0,449,78.3132815361023,500,0.9,700,1.0
1,449,78.17048501968384,500,0.9,700,1.0
2,449,94.29932951927185,500,0.9,700,1.0
0,449,94.97139239311218,500,0.9,700,5.0
1,449,95.46750211715698,500,0.9,700,5.0
2,449,97.13471245765686,500,0.9,700,5.0
0,449,97.98396492004395,500,0.95,100,0.1
1,449,97.00230407714844,500,0.95,100,0.1
2,449,97.17916965484619,500,0.95,100,0.1
0,449,98.09809255599976,500,0.95,100,1.0
1,449,68.36317682266235,500,0.95,100,1.0
2,449,68.72615814208984,500,0.95,100,1.0
0,449,68.3380913734436,500,0.95,100,5.0
1,449,67.88505792617798,500,0.95,100,5.0
2,449,66.88716554641724,500,0.95,100,5.0
0,449,67.56817626953125,500,0.95,300,0.1
1,449,67.93521237373352,500,0.95,300,0.1
2,449,68.42519235610962,500,0.95,300,0.1
0,449,79.48068380355835,500,0.95,300,1.0
1,449,80.3897340297699,500,0.95,300,1.0
2,449,81.09231615066528,500,0.95,300,1.0
0,449,84.08639073371887,500,0.95,300,5.0
1,449,83.45997047424316,500,0.95,300,5.0
2,449,82.96310329437256,500,0.95,300,5.0
0,449,85.58449149131775,500,0.95,500,0.1
1,449,86.73764157295227,500,0.95,500,0.1
2,449,82.91856551170349,500,0.95,500,0.1
0,449,82.19750189781189,500,0.95,500,1.0
1,449,81.79554915428162,500,0.95,500,1.0
2,449,80.02201843261719,500,0.95,500,1.0
0,449,79.34069204330444,500,0.95,500,5.0
1,449,79.52385640144348,500,0.95,500,5.0
2,449,76.80556035041809,500,0.95,500,5.0
0,449,76.53448247909546,500,0.95,700,0.1
1,449,69.70054745674133,500,0.95,700,0.1
2,449,68.58343410491943,500,0.95,700,0.1
0,449,68.0535786151886,500,0.95,700,1.0
1,449,67.81130766868591,500,0.95,700,1.0
2,449,69.14229774475098,500,0.95,700,1.0
0,449,69.35998058319092,500,0.95,700,5.0
1,449,69.48408365249634,500,0.95,700,5.0
2,449,69.09353470802307,500,0.95,700,5.0
0,449,70.30735063552856,500,0.97,100,0.1
1,449,71.31022810935974,500,0.97,100,0.1
2,449,70.449622631073,500,0.97,100,0.1
0,449,71.11603784561157,500,0.97,100,1.0
1,449,69.3291175365448,500,0.97,100,1.0
2,449,70.87173175811768,500,0.97,100,1.0
0,449,72.77778887748718,500,0.97,100,5.0
