Class   Instance  SPT       Greedy    LPT       IdleFilling
============================================================
3       1         5315      5260      5390      5260      
3       2         4892      4754      4875      4754      
3       3         5217      5072      5231      5072      
3       4         5138      5025      5262      5025      
3       5         5216      5139      5307      5139      
3       6         5503      5389      5549      5389      
3       7         5159      5079      5206      5079      
3       8         5164      5045      5220      5045      
3       9         5225      5126      5283      5126      
3       10        5091      4991      5095      4991      
4       1         1236      1226      1309      1226      
4       2         1228      1215      1238      1215      
4       3         1222      1210      1254      1210      
4       4         1249      1232      1272      1232      
4       5         1224      1221      1267      1221      
4       6         1223      1213      1281      1213      
4       7         1220      1204      1287      1204      
4       8         1229      1202      1262      1202      
4       9         1191      1186      1220      1186      
4       10        1223      1206      1240      1206      
5       1         2259      2225      2287      2225      
5       2         2187      2178      2243      2178      
5       3         2221      2191      2252      2191      
5       4         2243      2223      2291      2223      
5       5         2235      2199      2264      2199      
5       6         2286      2254      2313      2254      
5       7         2283      2205      2286      2205      
5       8         2227      2202      2267      2202      
5       9         2219      2198      2239      2198      
5       10        2216      2183      2237      2183      
6       1         5234      5167      5277      5167      
6       2         5399      5209      5337      5209      
6       3         5198      5173      5279      5173      
6       4         5303      5192      5312      5192      
6       5         5326      5244      5389      5244      
6       6         5276      5204      5307      5204      
6       7         5283      5235      5340      5235      
6       8         5224      5146      5249      5146      
6       9         5217      5220      5245      5220      
6       10        5208      5161      5246      5161      
1       1         1062      1047      1133      1047      
1       2         1105      1086      1180      1086      
1       3         1126      1113      1208      1113      
1       4         1133      1124      1205      1124      
1       5         1069      1058      1131      1058      
1       6         1189      1182      1251      1182      
1       7         1126      1125      1240      1125      
1       8         1082      1075      1174      1075      
1       9         1083      1076      1152      1076      
1       10        1116      1108      1180      1108      
2       1         2071      2075      2121      2075      
2       2         2114      2076      2173      2076      
2       3         2184      2151      2220      2151      
2       4         2153      2125      2177      2125      
2       5         2153      2150      2228      2150      
2       6         2081      2063      2146      2063      
2       7         2052      2056      2076      2056      
2       8         2187      2177      2268      2177      
2       9         2247      2202      2279      2202      
2       10        2109      2089      2144      2089      
3       1         4829      4762      4790      4762      
3       2         5090      5054      5138      5054      
3       3         4974      4913      4933      4913      
3       4         5062      4959      5051      4959      
3       5         5065      5001      5196      5001      
3       6         5171      5137      5344      5137      
3       7         5099      4963      5021      4963      
3       8         4911      4820      5026      4820      
3       9         5238      5190      5255      5190      
3       10        4989      4914      4934      4914      
4       1         1234      1205      1272      1205      
4       2         1182      1179      1228      1179      
4       3         1223      1211      1280      1211      
4       4         1217      1210      1283      1210      
4       5         1213      1206      1252      1206      
4       6         1188      1186      1218      1186      
4       7         1208      1203      1241      1203      
4       8         1194      1190      1256      1190      
4       9         1189      1182      1224      1182      
4       10        1218      1200      1259      1200      
5       1         2228      2211      2230      2211      
5       2         2239      2217      2315      2217      
5       3         2201      2193      2296      2193      
5       4         2205      2190      2279      2190      
5       5         2240      2212      2254      2212      
5       6         2215      2190      2241      2190      
5       7         2223      2214      2254      2214      
5       8         2244      2243      2283      2243      
5       9         2263      2229      2306      2229      
5       10        2221      2193      2223      2193      
6       1         5348      5214      5299      5214      
6       2         5274      5206      5303      5206      
6       3         5233      5192      5246      5192      
6       4         5232      5209      5283      5209      
6       5         5294      5267      5374      5267      
6       6         5281      5204      5300      5204      
6       7         5188      5170      5165      5170      
6       8         5414      5275      5381      5275      
6       9         5330      5249      5362      5249      
6       10        5253      5194      5270      5194      
